SimpleClassifier;;;;
Lp;train score;test score balanced;test score mean
0;1.0;0.9488530949569911;0.9690721649484536
1;1.0;0.9584619341563786;0.9725085910652921
2;1.0;0.9536097560975609;0.9553264604810997
3;1.0;0.9255589028064055;0.9621993127147767
4;1.0;0.9396265560165975;0.9656357388316151
5;1.0;0.894961763382816;0.9484536082474226
6;1.0;0.9288560712611346;0.9656357388316151
7;1.0;0.9585990247561891;0.9621993127147767
8;1.0;0.9339394914708722;0.9656357388316151
9;1.0;0.9255589028064055;0.9621993127147767
10;1.0;0.9174871073605251;0.9587628865979382
11;1.0;0.975850622406639;0.9862542955326461
12;1.0;0.9255589028064055;0.9621993127147767
13;1.0;0.8851731601731602;0.9450171821305842
14;1.0;0.9557900244157655;0.9690721649484536
15;1.0;0.9209167950693374;0.9621993127147767
16;1.0;0.894961763382816;0.9484536082474226
17;1.0;0.9504065040650407;0.9621993127147767
18;1.0;0.9476904674273094;0.9587628865979382
19;1.0;0.9401952085181899;0.9587628865979382
20;1.0;0.9288560712611346;0.9656357388316151
21;1.0;0.9456469262954619;0.9725085910652921
22;1.0;0.951701244813278;0.9725085910652921
23;1.0;0.9504065040650407;0.9621993127147767
24;1.0;0.9174871073605251;0.9587628865979382
25;1.0;0.9476904674273094;0.9587628865979382
26;1.0;0.8988171869971033;0.9450171821305842
27;1.0;0.9459876543209876;0.9656357388316151
28;1.0;0.9611232922921236;0.9759450171821306
29;1.0;0.927284826974268;0.9518900343642611
30;1.0;0.8840530814215024;0.9415807560137457
31;1.0;0.9243127002867262;0.9553264604810997
32;1.0;0.9188725490196079;0.9553264604810997
33;1.0;0.9188725490196079;0.9553264604810997
34;1.0;0.9459876543209876;0.9656357388316151
35;1.0;0.9459876543209876;0.9656357388316151
36;1.0;0.9545343137254902;0.9759450171821306
37;1.0;0.9531055900621118;0.9656357388316151
38;1.0;0.9709362139917695;0.979381443298969
39;1.0;0.9531055900621118;0.9656357388316151
40;1.0;0.9061181434599157;0.9518900343642611
41;1.0;0.9343025395656974;0.9518900343642611
42;1.0;0.9140241002061202;0.9553264604810997
43;1.0;0.9339394914708722;0.9656357388316151
44;1.0;0.9690617959446411;0.9862542955326461
45;1.0;0.9365828976218586;0.9621993127147767
46;1.0;0.9188725490196079;0.9553264604810997
47;1.0;0.894961763382816;0.9484536082474226
48;1.0;0.9488530949569911;0.9690721649484536
49;1.0;0.9684775026159749;0.9759450171821306
50;1.0;0.9456469262954619;0.9725085910652921
51;1.0;0.940225035161744;0.9725085910652921
52;1.0;0.9504065040650407;0.9621993127147767
53;1.0;0.9335133744855968;0.9587628865979382
54;1.0;0.9584619341563786;0.9725085910652921
55;1.0;0.9109756097560976;0.9415807560137457
56;1.0;0.927284826974268;0.9518900343642611
57;1.0;0.9585990247561891;0.9621993127147767
58;1.0;0.9660159716060337;0.9725085910652921
59;1.0;0.9154771784232365;0.9518900343642611
60;1.0;0.9531055900621118;0.9656357388316151
61;1.0;0.9584619341563786;0.9725085910652921
62;1.0;0.9456469262954619;0.9725085910652921
63;1.0;0.9243161094224923;0.9656357388316151
