FullClassifier;;;;
Lp;train score;test score balanced;test score mean
0;1.0;0.9505376344086022;0.9618320610687023
1;1.0;0.9505376344086022;0.9618320610687023
2;1.0;0.9505376344086022;0.9618320610687023
3;1.0;0.9505376344086022;0.9618320610687023
4;1.0;0.9505376344086022;0.9618320610687023
5;1.0;0.9505376344086022;0.9618320610687023
6;1.0;0.9505376344086022;0.9618320610687023
7;1.0;0.9505376344086022;0.9618320610687023
8;1.0;0.9505376344086022;0.9618320610687023
9;1.0;0.9505376344086022;0.9618320610687023
10;1.0;0.9505376344086022;0.9618320610687023
11;1.0;0.9505376344086022;0.9618320610687023
12;1.0;0.9505376344086022;0.9618320610687023
13;1.0;0.9505376344086022;0.9618320610687023
14;1.0;0.9505376344086022;0.9618320610687023
15;1.0;0.9505376344086022;0.9618320610687023
16;1.0;0.9505376344086022;0.9618320610687023
17;1.0;0.9505376344086022;0.9618320610687023
18;1.0;0.9505376344086022;0.9618320610687023
19;1.0;0.9505376344086022;0.9618320610687023
20;1.0;0.9505376344086022;0.9618320610687023
21;1.0;0.9505376344086022;0.9618320610687023
22;1.0;0.9505376344086022;0.9618320610687023
23;1.0;0.9505376344086022;0.9618320610687023
24;1.0;0.9505376344086022;0.9618320610687023
25;1.0;0.9505376344086022;0.9618320610687023
26;1.0;0.9505376344086022;0.9618320610687023
27;1.0;0.9505376344086022;0.9618320610687023
28;1.0;0.9505376344086022;0.9618320610687023
29;1.0;0.9505376344086022;0.9618320610687023
30;1.0;0.9505376344086022;0.9618320610687023
31;1.0;0.9505376344086022;0.9618320610687023
32;1.0;0.9505376344086022;0.9618320610687023
33;1.0;0.9505376344086022;0.9618320610687023
34;1.0;0.9505376344086022;0.9618320610687023
35;1.0;0.9505376344086022;0.9618320610687023
36;1.0;0.9505376344086022;0.9618320610687023
37;1.0;0.9505376344086022;0.9618320610687023
38;1.0;0.9505376344086022;0.9618320610687023
39;1.0;0.9505376344086022;0.9618320610687023
40;1.0;0.9505376344086022;0.9618320610687023
41;1.0;0.9505376344086022;0.9618320610687023
42;1.0;0.9505376344086022;0.9618320610687023
43;1.0;0.9505376344086022;0.9618320610687023
44;1.0;0.9505376344086022;0.9618320610687023
45;1.0;0.9505376344086022;0.9618320610687023
46;1.0;0.9505376344086022;0.9618320610687023
47;1.0;0.9505376344086022;0.9618320610687023
48;1.0;0.9505376344086022;0.9618320610687023
49;1.0;0.9505376344086022;0.9618320610687023
50;1.0;0.9505376344086022;0.9618320610687023
51;1.0;0.9505376344086022;0.9618320610687023
52;1.0;0.9505376344086022;0.9618320610687023
53;1.0;0.9505376344086022;0.9618320610687023
54;1.0;0.9505376344086022;0.9618320610687023
55;1.0;0.9505376344086022;0.9618320610687023
56;1.0;0.9505376344086022;0.9618320610687023
57;1.0;0.9505376344086022;0.9618320610687023
58;1.0;0.9505376344086022;0.9618320610687023
59;1.0;0.9505376344086022;0.9618320610687023
60;1.0;0.9505376344086022;0.9618320610687023
61;1.0;0.9505376344086022;0.9618320610687023
62;1.0;0.9505376344086022;0.9618320610687023
63;1.0;0.9505376344086022;0.9618320610687023
